id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d
92187,0,Nov-90,0,0,0,13,0,7274,13.10%,40,f,0,0,2822.969293,1213.88,2500,322.97,0,0,0,Jul-10,80.9,,Jun-10
92402,0,May-94,0,0,0,10,0,66033,23%,29,f,0,0,5698.603286,797.8,5000,698.6,0,0,0,Jul-10,159.83,,Nov-14
92440,0,Jul-00,0,0,0,8,0,3660,6.80%,16,f,0,0,5593.631701,3468.05,5000,593.63,0,0,0,Jul-10,157.38,,Jun-07
92507,0,Oct-97,0,0,0,7,0,216,0.60%,19,f,0,0,5593.626092,279.68,5000,593.63,0,0,0,Jul-10,156.29,,Jun-07
92533,0,Jul-96,3,0,44,15,1,27185,16.10%,29,f,0,0,5912.052998,798.13,5000,912.05,0,0,0,Jul-10,165.17,,Jun-07
92552,0,Aug-95,1,0,0,6,0,28329,48.60%,6,f,0,0,5804.732505,435.36,5000,804.73,0,0,0,Jul-10,162.07,,Jun-10
92666,0,Feb-95,1,0,0,16,0,60568,39.20%,38,f,0,0,5751.530533,603.91,5000,751.53,0,0,0,Jul-10,161.55,,Jun-07
92676,0,Jun-96,0,0,0,12,0,40934,26.30%,39,f,0,0,5645.957239,169.38,5000,645.96,0,0,0,Jul-10,157.31,,Jun-07
93061,0,Oct-97,0,0,0,8,0,8379,16.90%,16,f,0,0,5593.631701,279.69,5000,593.63,0,0,0,Jul-10,157.02,,Jun-10
93277,0,Sep-00,1,0,0,10,0,3660,7.80%,13,f,0,0,3419.14485,1082.73,3000,419.14,0,0,0,Jul-10,97.45,,Jul-10
94838,1,Feb-97,0,19,0,5,0,0,0%,8,f,0,0,3498.858899,2974.03,3000,498.86,0,0,0,Jul-10,98.49,,Feb-13
96350,0,Apr-93,0,0,0,10,0,15840,47.10%,12,f,0,0,5912.052998,1005.05,5000,912.05,0,0,0,Jul-10,166.25,,Oct-12
96844,0,Feb-92,0,0,0,15,0,6844,14.40%,29,f,0,0,6012.561053,680.67,5300,712.56,0,0,0,Jul-10,170.05,,Jul-10
98276,0,Mar-89,0,0,0,4,0,1321,16.50%,4,f,0,0,6069.341452,224.8,5400,669.34,0,0,0,Jul-10,169.09,,Dec-13
98339,0,Jun-95,0,0,0,11,0,4737,23.90%,22,f,0,0,5779.031624,651.56,5100,679.03,0,0,0,Apr-10,638.15,,Jun-07
98982,0,Jan-99,0,0,0,21,0,23489,37.60%,28,f,0,0,5725.016258,772.88,5000,725.02,0,0,0,Jul-10,160.02,,Jul-10
99009,0,Jan-87,0,0,0,10,0,2817,10.20%,16,f,0,0,6421.743349,4104.33,5750,671.74,0,0,0,May-10,4.74,,Apr-10
100214,0,Aug-91,1,0,0,5,0,1783,0%,11,f,0,0,5593.634135,4111.32,5000,593.63,0,0,0,Aug-10,157.74,,Jun-07
101579,0,Sep-03,0,0,0,4,0,3534,54.40%,4,f,0,0,11662.89219,466.52,10000,1662.89,0,0,0,Jul-10,328.93,,Oct-10
102376,0,Jan-00,0,0,0,5,0,2422,23.30%,12,f,0,0,29269.95527,614.67,25000,4269.96,0,0,0,Jun-10,3.54,,Jun-10
106079,0,Dec-02,1,0,0,10,0,2864,41.10%,16,f,0,0,3942.013096,1351.55,3500,442.01,0,0,0,Mar-09,1798.54,,May-16
106360,0,Aug-03,1,0,0,12,0,3075,92.30%,13,f,0,0,3415.389823,695.73,2700,715.39,0,0,0,Jul-10,96.4,,Jul-10
107136,1,Feb-69,2,19,0,10,0,17214,8.10%,24,f,0,0,13128.88362,1634.41,12250,878.88,0,0,0,Apr-08,9939.88,,Jul-07
109355,0,May-04,2,24,0,3,0,1153,75.80%,4,f,0,0,1425.37,0,1200,225.37,0,0,0,Jul-10,39.45,,Jul-10
111227,0,Jan-96,0,NA,NA,17,0,41674,74.10%,26,f,0,0,20339.66,2845.82,16077.42,4262.24,0,0,0,Feb-10,678.08,,May-16
111307,0,Apr-95,3,78,0,9,0,43039,93.40%,24,f,0,0,14449.28798,3010.27,12000,2449.29,0,0,0,Jul-10,402.93,,Jul-10
111917,0,Apr-01,0,NA,NA,7,0,3362,69.30%,8,f,0,0,7395.962477,4709.15,6400,995.96,0,0,0,Aug-10,206.58,,Jul-10
112216,2,Aug-83,0,2,0,6,0,11868,71.90%,23,f,0,0,14361.46082,1226.71,12000,2341.57,19.89,0,0,Mar-11,239.9,,Mar-11
112245,0,Feb-85,2,0,0,4,0,2562,14%,7,f,0,0,5593.638527,4446.94,5000,593.64,0,0,0,Aug-10,158.65,,Apr-16
112323,0,Sep-03,0,0,0,17,0,1882,32.40%,18,f,0,0,4097.157701,1316.94,3500,582.16,15,0,0,Sep-10,6.57,,Aug-10
112496,0,Jul-00,2,0,61,3,1,1064,70.90%,6,f,0,0,3579.662273,626.44,3000,579.66,0,0,0,Aug-10,101.51,,Jul-10
113156,1,Nov-93,0,15,0,19,0,6432,6%,37,f,0,0,3952.171178,3952.17,3500,452.17,0,0,0,Aug-10,110.07,,Jul-10
113179,0,Jul-04,1,0,0,9,0,4485,36.90%,11,f,0,0,703.95,668.87,544.02,138.64,0,21.29,0.23,May-09,32.55,,Oct-09
113194,1,Nov-93,0,5,0,13,0,16310,20.50%,32,f,0,0,4063.318618,2002.64,3500,563.32,0,0,0,Aug-10,114.13,,Jul-10
116040,0,Apr-91,0,38,0,9,0,20969,40.20%,26,f,0,0,5778.087809,895.6,5000,778.09,0,0,0,Aug-10,163.82,,Aug-10
116582,0,Mar-00,0,44,0,10,0,22213,65.90%,22,f,0,0,12260.31053,1195.38,10000,2260.31,0,0,0,Aug-10,343.82,,Aug-10
117056,0,Dec-92,1,47,0,12,0,2160,2.30%,22,f,0,0,5592.073299,1649.66,5000,592.07,0,0,0,Jan-10,1221.57,,Jan-10
117249,0,Sep-80,0,0,0,13,0,813,1%,36,f,0,0,5495.826405,1428.92,5000,495.83,0,0,0,Jun-09,2233.27,,Jun-09
117794,0,May-93,4,0,0,15,0,23678,24.40%,60,f,0,0,7826.508179,417.44,7500,326.51,0,0,0,Mar-08,6415.65,,Jun-07
117863,0,May-00,3,0,0,10,0,11289,47.80%,15,f,0,0,9199.512831,2616.11,8000,1199.51,0,0,0,May-10,154.52,,Feb-14
118523,0,Jul-90,0,0,0,11,0,56411,75.30%,28,f,0,0,4054.35,139.42,2886.21,1168.14,0,0,0,Feb-09,225.37,,May-16
118533,0,Feb-94,3,0,0,9,0,269,3.80%,35,f,0,0,2086.63,688.35,1730.83,354.44,1.36,0,0,Mar-10,1.4,,May-16
118823,0,Jul-92,1,0,0,11,0,3408,35.10%,32,f,0,0,2220.61,599.28,1706.01,477.21,1.69,35.7,0.38,Mar-10,1.76,,May-16
119043,0,Nov-92,3,54,111,13,1,6513,34.30%,29,f,0,0,11652.75,451.73,8688.59,2659.96,0,304.2,3.09,Oct-09,1016.15,,Mar-10
120215,0,Nov-02,0,0,0,2,0,330,11%,4,f,0,0,4474.37586,3998.97,4000,474.38,0,0,0,Aug-10,119.24,,Apr-15
120374,0,Aug-00,1,24,0,13,0,5967,19.80%,17,f,0,0,2279.4299,541.36,2000,279.43,0,0,0,Aug-10,64.27,,Aug-10
120525,0,Aug-01,1,0,0,4,0,5533,79.60%,5,f,0,0,4708.070922,1736.1,4000,708.07,0,0,0,Aug-10,134.78,,Jun-11
121426,0,Sep-84,0,0,0,15,0,21050,1%,24,f,0,0,3125.460949,3099.41,3000,125.46,0,0,0,Apr-08,2563.59,,Aug-07
121530,0,Sep-84,0,0,0,17,0,21050,0.70%,29,f,0,0,3125.435781,2318.03,3000,125.44,0,0,0,Apr-08,2563.55,,Aug-07
121535,0,May-99,1,NA,NA,6,0,8155,14.90%,8,f,0,0,3191.218575,1852.05,2800,391.22,0,0,0,Sep-10,89.8,,Aug-07
121568,0,May-99,1,NA,NA,6,0,8155,14.90%,8,f,0,0,4622.489229,2224.58,4000,622.49,0,0,0,Sep-10,129.76,,Aug-07
121824,0,Feb-00,0,0,0,10,0,3678,30.70%,14,f,0,0,3158.893661,2290.21,3000,158.89,0,0,0,May-08,2494.29,,Jan-15
122070,0,Jul-99,2,42,0,10,0,2040,36.20%,21,f,0,0,6446.047047,1969.62,5400,1046.05,0,0,0,Apr-10,1055.1,,Jan-12
122404,0,Mar-00,2,0,0,9,0,33074,68.80%,9,f,0,0,13813.15438,1733.47,12750,1063.15,0,0,0,Apr-08,11149.39,,Aug-07
122637,0,Sep-00,0,0,0,12,0,1918,17.10%,16,f,0,0,4495.838507,1742.16,4000,495.84,0,0,0,Sep-10,126.29,,Aug-10
122718,0,Oct-02,0,0,0,8,0,22379,62.20%,15,f,0,0,20042.61423,866.8,18500,1542.61,0,0,0,Apr-08,16177.15,,Feb-11
123228,0,Aug-01,0,0,0,4,0,10296,42.50%,8,f,0,0,12838.44,624.61,10395.56,2442.88,0,0,0,May-09,642.02,,May-16
123230,0,Feb-04,3,0,0,16,0,2867,55.10%,17,f,0,0,628.19,281.8,455.95,172.24,0,0,0,Mar-08,104.76,,Apr-16
124436,0,Oct-02,0,0,0,9,0,12310,86.10%,15,f,0,0,5675.572528,3635.91,4800,875.57,0,0,0,Sep-10,160.09,,Aug-14
125671,0,Feb-71,0,0,0,10,0,61921,39.10%,27,f,0,0,13819.081,5784.07,12125,1694.08,0,0,0,Sep-10,385.26,,Sep-10
125897,0,Jun-97,2,0,0,9,0,16738,26.10%,24,f,0,0,7174.090957,2517.7,6625,549.09,0,0,0,Aug-08,2329.53,,Nov-15
126213,0,May-91,1,0,0,13,0,40384,9.20%,28,f,0,0,10727.30463,4403.84,9500,1227.3,0,0,0,Sep-10,299.36,,Sep-10
126215,0,Oct-01,2,0,0,8,0,1359,5.60%,16,f,0,0,5459.636223,2293.05,5000,459.64,0,0,0,May-09,143.94,,May-09
126287,0,Jun-79,2,0,0,18,0,107501,44.80%,34,f,0,0,11068.42185,3237.51,10000,1068.42,0,0,0,Oct-08,7110.05,,Sep-08
126392,0,Sep-85,3,0,0,14,0,3054,5.60%,41,f,0,0,10435.30342,2843.62,10000,435.3,0,0,0,Apr-08,8553.6,,Aug-07
126776,0,Nov-83,0,0,0,11,0,40384,9.60%,25,f,0,0,10727.30463,1383.26,9500,1227.3,0,0,0,Oct-10,305.23,,Sep-10
126788,0,Apr-95,3,0,0,9,0,128000,0%,18,f,0,0,8104.154188,6267.21,7500,604.15,0,0,0,Sep-08,5468.54,,Aug-08
127213,0,Jun-91,0,NA,NA,14,0,4709,18.50%,8,f,0,0,2219.432551,1747.8,2000,219.43,0,0,0,Apr-10,3.06,,Apr-10
127353,1,Sep-92,0,4,0,5,0,2850,75%,19,f,0,0,3381.645272,1245.87,2850,531.65,0,0,0,Apr-10,9.29,,Apr-10
127472,0,Jul-96,0,46,0,5,0,51,0%,9,f,0,0,2580.248838,666.85,943.58,382.27,0,1254.398838,444.25,Mar-09,73.68,,May-16
127504,0,Feb-93,0,0,0,7,0,37152,3.70%,19,f,0,0,11291.91405,1489.2,10000,1291.92,0,0,0,Nov-10,317.43,,Nov-10
127531,0,Jan-92,1,0,0,13,0,3839,16.60%,24,f,0,0,19555.18587,345.09,17000,2555.19,0,0,0,Sep-10,545.37,,Nov-15
127719,0,Feb-93,0,0,0,6,0,37152,3.70%,12,f,0,0,11291.91956,4141.29,10000,1291.92,0,0,0,Nov-10,323.55,,Nov-10
127830,1,Oct-97,0,22,0,15,0,26283,39.50%,20,f,0,0,7294.65,136.4,5717.45,1474.29,0,102.91,1.04,Dec-09,266.37,,May-10
128635,0,Dec-02,0,0,0,6,0,5607,42.20%,7,f,0,0,7648.052287,588.31,6500,1088.05,59.99999996,0,0,Oct-10,188.8,,Apr-12
128881,0,Aug-04,3,0,0,3,0,1061,81.90%,4,f,0,0,8570.680502,91.83,7000,1540.68,30,0,0,Nov-10,126.36,,Oct-10
129745,0,Nov-94,1,0,0,8,0,56740,77.50%,23,f,0,0,11663.55831,320.75,10000,1663.56,0,0,0,Oct-10,327.94,,Sep-10
130512,0,Aug-92,1,0,0,11,0,40598,77.30%,42,f,0,0,8192.665786,480.26,7250,942.67,0,0,0,May-09,3946.77,,Mar-10
130735,0,Mar-04,1,0,0,28,0,3815,6.50%,32,f,0,0,11444.36549,1032.78,10250,1194.37,0,0,0,Sep-08,7924.41,,Aug-08
130907,0,Dec-96,1,64,0,10,0,0,0%,22,f,0,0,4191.717919,1027.11,3775,416.72,0,0,0,Aug-10,9.7,,Mar-16
130986,0,May-63,0,0,0,4,0,50,0.30%,6,f,0,0,2338.44735,2032.22,2100,238.45,0,0,0,Oct-10,69.15,,Dec-10
131223,0,Nov-97,1,34,0,4,0,4569,56.40%,7,f,0,0,25188.82338,1511.33,20000,5188.82,0,0,0,Oct-10,707.68,,Sep-10
131387,0,Apr-99,0,0,0,6,0,8528,86.10%,7,f,0,0,7029.69413,702.97,6000,1029.69,0,0,0,Oct-10,198.8,,Sep-10
131618,0,Jan-00,0,0,0,11,0,14345,45.80%,21,f,0,0,10641.12426,916.33,9000,1641.12,0,0,0,Oct-10,298.04,,Mar-13
131649,0,Jul-98,1,41,0,11,0,113,2.40%,21,f,0,0,7833.037378,1211.92,6625,1208.04,0,0,0,Oct-10,219.63,,Sep-10
131782,0,Apr-99,3,0,0,8,0,12231,81%,13,f,0,0,6138,812.88,4386.34,1601.56,0,150.1,1.6,Dec-09,50.09,,May-10
132062,1,Jun-97,0,8,0,14,0,13552,69.10%,18,f,0,0,8943.420138,1552.69,7200,1743.42,0,0,0,Oct-10,252.65,,Apr-16
132172,0,Nov-00,0,0,0,11,0,16813,63.90%,13,f,0,0,6939.838576,1040.98,6000,939.84,0,0,0,Feb-10,1692.37,,Feb-10
132892,0,Aug-97,3,60,117,9,1,26233,62.90%,37,f,0,0,4015.96,311.64,1496.83,609.26,0,1909.87,668.36,May-08,301.05,,May-16
132946,0,Jul-82,0,0,0,7,0,5760,16%,10,f,0,0,5900.951139,1090.7,5275,625.95,0,0,0,Oct-10,172.42,,Oct-10
133301,1,Nov-89,1,22,0,3,0,105,35%,25,f,0,0,4073.98,677.96,2938.05,676.44,0,459.49,124.88,Oct-09,150.66,,May-16
133685,0,Oct-01,0,0,0,10,0,11490,95.70%,11,f,0,0,7762.02533,1113.05,6625,1137.03,0,0,0,Feb-10,1888.34,,Mar-10
134436,1,May-93,3,23,0,13,0,17641,30.50%,24,f,0,0,3068.020133,1215.06,2525,543.02,0,0,0,Oct-10,89.89,,Aug-15
135201,0,Oct-98,3,0,0,5,0,0,0%,9,f,0,0,10273.97249,205.52,10000,273.97,0,0,0,Jan-08,9617.25,,Sep-07
135594,0,Sep-83,1,0,0,13,0,12430,19.20%,32,f,0,0,5504.771552,1304.46,5275,229.77,0,0,0,May-08,4512.61,,Sep-07
136226,0,Jun-03,0,0,0,8,0,12323,44%,16,f,0,0,5035.12991,995.32,4300,735.13,0,0,0,Apr-10,964.01,,May-16
136316,0,Sep-98,0,0,0,10,0,38624,97.80%,23,f,0,0,3515.867902,1307.55,3025,490.87,0,0,0,May-10,576.99,,May-16
136491,1,Aug-01,2,15,0,5,0,875,54.70%,8,f,0,0,2477.03,779.4,1756.71,574.25,0,146.07,1.48,Jul-09,333.29,,Mar-15
136634,4,Dec-87,3,15,0,7,0,1196,12%,16,f,0,0,10235.30514,1535.3,8500,1735.31,0,0,0,Oct-10,289.62,,Oct-10
137042,1,Mar-00,3,12,0,9,0,26628,60.40%,18,f,0,0,6989.312454,896.86,5650,1339.31,0,0,0,Oct-10,203.82,,Oct-10
137106,0,Nov-91,2,0,0,12,0,6752,24.60%,18,f,0,0,4382.295761,538.2,4275,107.3,0,0,0,Jan-08,4105.9,,Oct-07
137271,0,Sep-03,1,0,0,3,0,458,91.60%,3,f,0,0,2313.97,1211.82,400.45,160.03,0,1753.49,613.6,Jun-08,70.25,,May-16
137965,0,Feb-98,0,0,0,7,0,16786,44.70%,12,f,0,0,9013.504593,3915.24,8000,1013.5,0,0,0,Feb-10,2222.28,,Jan-11
138557,0,Feb-81,0,76,0,10,0,7336,29.90%,20,f,0,0,9474.504091,715.6,8275,1199.5,0,0,0,Oct-10,265.32,,Oct-10
138568,0,Aug-97,1,0,0,10,0,7089,41.90%,25,f,0,0,3767.310996,1466.66,3275,492.31,0,0,0,Oct-10,114.05,,Oct-10
139057,0,Oct-93,0,0,0,7,0,18388,68.90%,22,f,0,0,6207.582068,1749.41,5500,707.58,0,0,0,Sep-10,12.81,,Sep-10
139657,0,Jul-02,2,54,0,2,0,613,76.60%,7,f,0,0,1393.109735,349.3,1200,193.11,0,0,0,Nov-10,40.85,,Jul-13
139790,1,Sep-04,3,14,0,3,0,566,51.50%,5,f,0,0,3597.734061,2637.96,1956.75,545,0,1095.984061,389.89,Dec-09,100.35,,May-16
139968,0,Sep-01,1,41,0,9,0,9166,50.40%,20,f,0,0,12074.02691,2626.1,10000,2074.03,0,0,0,Jul-10,1333.8,,Apr-12
139980,0,May-94,0,62,76,6,1,5406,33.40%,14,f,0,0,4820.71,1347.19,3891.56,844.02,29.97072527,55.16,0.7,Mar-10,163.49,,Aug-10
140036,0,Nov-01,2,0,0,7,0,1188,3%,7,f,0,0,868.81,477.36,719.9,148.91,0,0,0,Jan-10,32.25,,May-16
140452,0,Dec-76,1,0,0,9,0,12003,40.40%,9,f,0,0,3528.643953,2146.83,3000,483.65,44.99999994,0,0,Oct-10,108.86,,Oct-10
140561,0,Aug-94,1,0,0,9,0,20511,62%,9,f,0,0,520.03,52.38,323.55,110.68,0,85.8,0.86,May-08,72.42,,Jan-09
140687,0,Sep-97,2,0,0,11,0,55720,10%,41,f,0,0,3264.399986,1964.42,2825,439.4,0,0,0,Nov-10,96.65,,May-16
140900,0,Oct-80,0,0,0,14,0,7744,17.10%,34,f,0,0,8539.466798,593.4,8275,264.47,0,0,0,Apr-08,7501.59,,Oct-07
141041,0,Nov-92,1,0,0,12,0,51761,38%,37,f,0,0,6095.488269,1011.1,5275,820.49,0,0,0,Nov-10,171.85,,Oct-10
141676,0,Sep-03,0,0,0,10,0,579,23.20%,15,f,0,0,6890.119612,1521.91,6225,665.12,0,0,0,Dec-08,4427.01,,Sep-15
141774,0,Dec-82,0,0,0,15,0,34776,54.30%,41,f,0,0,1605.3,651.62,1028.79,427.59,0,148.92,5.7222,Aug-08,162.01,,May-16
142281,0,Aug-02,0,0,0,15,0,8047,33.80%,15,f,0,0,7850.413498,616.82,7000,850.41,0,0,0,May-09,3995.3,,Apr-16
142608,0,Jan-99,3,0,0,6,0,0,0%,6,f,0,0,5931.806949,2787.95,5000,826.81,105,0,0,Oct-10,490.01,,Sep-10
142618,1,Sep-00,0,9,0,5,0,409,81.80%,17,f,0,0,5701.515761,1930.2,4800,901.52,0,0,0,Nov-10,162.23,,Oct-10
142734,0,Apr-81,0,0,0,9,0,185,0.50%,18,f,0,0,27752.44158,1914.95,25000,2752.44,0,0,0,Jun-09,13442.6,,Jun-09
142790,0,Jun-90,2,0,0,13,0,48251,50.10%,28,f,0,0,5664.122277,2012.63,4925,739.12,0,0,0,Jun-10,665.84,,May-16
143102,0,Sep-00,0,59,0,23,0,772,96.50%,29,f,0,0,3499.046563,2335.17,3000,499.05,0,0,0,Nov-10,98.93,,Nov-10
143128,1,May-99,1,11,0,9,0,1019,4.50%,13,f,0,0,9504.997523,1597.44,8000,1505,0,0,0,Nov-10,273.47,,Apr-16
143566,0,May-92,2,38,0,11,0,8332,39.90%,28,f,0,0,14566.08622,323.69,12375,2191.09,0,0,0,Nov-10,405.99,,Oct-10
144579,0,Feb-91,1,0,0,12,0,1790,4.50%,22,f,0,0,10461.78715,4381.33,9850,611.79,0,0,0,Oct-08,7387.64,,Oct-08
144635,0,Jun-90,3,0,0,14,0,62739,74.70%,33,f,0,0,9239.37,1371.43,6646.07,2583.15,0,10.15,3.91,Oct-08,839.95,,May-16
146564,0,Jan-95,2,60,0,6,0,29901,71.20%,19,f,0,0,8094.3,2247.98,6700.52,1372.48,14.99593584,6.31,1.135799999,May-10,553.62,,May-16
146641,0,Jul-03,1,0,0,6,0,5867,74.30%,7,f,0,0,8231.777527,5196.31,8000,231.78,0,0,0,Feb-08,7703.28,,Oct-07
146671,0,Dec-01,1,0,0,8,0,10605,22.10%,27,f,0,0,26131.73499,2979.02,25000,1131.73,0,0,0,May-08,22120.23,,Aug-09
146844,0,May-81,3,0,0,27,0,57196,44.50%,39,f,0,0,12699.13,2871.53,6316.3,4640.67,20.21764038,1721.94,386.8474,Dec-11,100.2,,Dec-11
148473,0,May-94,2,28,0,4,0,481,80.20%,17,f,0,0,4484.82,817.92,3239.25,893.7,47.68952632,304.18,3.09,Jul-09,500.11,,Jan-11
149575,0,Jul-03,1,0,0,2,0,2282,19%,2,f,0,0,11121.68928,3058.47,10000,1121.69,0,0,0,Oct-09,19.94,,Oct-09
149754,0,Sep-04,1,0,0,8,0,3614,61.30%,13,f,0,0,4708.201721,1139.97,3999.99,708.21,0,0,0,Nov-10,135.81,,May-16
150940,0,Feb-89,1,0,113,9,1,14930,79%,21,f,0,0,8174.02191,1167.72,7000,1174.02,0,0,0,May-10,1571.29,,Apr-16
151587,0,Jan-79,0,0,0,7,0,33989,82.90%,16,f,0,0,22759.93342,770.07,19950,2809.93,0,0,0,Nov-09,7966.24,,Nov-09
